date,createdAt,timestamp,context,value
2023-11-23 20:28:16.288000-05:00,1700789296288,1700789296288,{},21.5
2023-11-23 20:28:12.782000-05:00,1700789292782,1700789292782,{},22.25
2023-11-23 20:28:09.315000-05:00,1700789289315,1700789289315,{},22.25
2023-11-23 20:28:02.272000-05:00,1700789282272,1700789282272,{},22.25
2023-11-23 20:27:58.775000-05:00,1700789278775,1700789278775,{},21.75
2023-11-23 20:27:55.262000-05:00,1700789275262,1700789275262,{},21.75
2023-11-23 20:27:51.773000-05:00,1700789271773,1700789271773,{},21.75
2023-11-23 20:27:44.758000-05:00,1700789264758,1700789264758,{},22.25
2023-11-23 20:27:41.249000-05:00,1700789261249,1700789261249,{},22.0
2023-11-23 20:27:37.744000-05:00,1700789257744,1700789257744,{},22.0
2023-11-23 20:27:34.270000-05:00,1700789254270,1700789254270,{},22.25
2023-11-23 20:27:27.236000-05:00,1700789247236,1700789247236,{},21.75
2023-11-23 20:27:23.730000-05:00,1700789243730,1700789243730,{},22.0
2023-11-23 20:27:20.225000-05:00,1700789240225,1700789240225,{},22.25
2023-11-23 20:27:16.729000-05:00,1700789236729,1700789236729,{},22.0
2023-11-23 20:27:13.228000-05:00,1700789233228,1700789233228,{},22.25
2023-11-23 20:27:09.712000-05:00,1700789229712,1700789229712,{},21.75
2023-11-23 20:27:02.706000-05:00,1700789222706,1700789222706,{},22.0
2023-11-23 20:26:59.208000-05:00,1700789219208,1700789219208,{},22.0
2023-11-23 20:26:55.695000-05:00,1700789215695,1700789215695,{},22.0
2023-11-23 20:26:52.189000-05:00,1700789212189,1700789212189,{},22.0
2023-11-23 20:26:48.688000-05:00,1700789208688,1700789208688,{},22.25
2023-11-23 20:26:45.184000-05:00,1700789205184,1700789205184,{},21.5
2023-11-23 20:26:41.684000-05:00,1700789201684,1700789201684,{},22.25
2023-11-23 20:26:38.177000-05:00,1700789198177,1700789198177,{},22.0
2023-11-23 20:26:31.173000-05:00,1700789191173,1700789191173,{},22.0
2023-11-23 20:26:27.668000-05:00,1700789187668,1700789187668,{},22.5
2023-11-23 20:26:24.158000-05:00,1700789184158,1700789184158,{},22.25
2023-11-23 20:26:17.169000-05:00,1700789177169,1700789177169,{},22.25
2023-11-23 20:26:13.646000-05:00,1700789173646,1700789173646,{},22.25
2023-11-23 20:26:06.658000-05:00,1700789166658,1700789166658,{},22.0
2023-11-23 20:26:03.142000-05:00,1700789163142,1700789163142,{},22.25
2023-11-23 20:25:59.635000-05:00,1700789159635,1700789159635,{},22.25
2023-11-23 20:25:52.630000-05:00,1700789152630,1700789152630,{},22.0
2023-11-23 20:25:49.116000-05:00,1700789149116,1700789149116,{},21.5
2023-11-23 20:25:45.617000-05:00,1700789145617,1700789145617,{},21.75
2023-11-23 20:25:42.122000-05:00,1700789142122,1700789142122,{},22.0
2023-11-23 20:25:38.622000-05:00,1700789138622,1700789138622,{},21.75
2023-11-23 20:25:35.100000-05:00,1700789135100,1700789135100,{},22.25
2023-11-23 20:25:31.600000-05:00,1700789131600,1700789131600,{},21.75
2023-11-23 20:25:24.590000-05:00,1700789124590,1700789124590,{},22.25
2023-11-23 20:25:21.082000-05:00,1700789121082,1700789121082,{},22.0
2023-11-23 20:25:17.582000-05:00,1700789117582,1700789117582,{},21.5
2023-11-23 20:25:14.074000-05:00,1700789114074,1700789114074,{},21.5
2023-11-23 20:25:10.578000-05:00,1700789110578,1700789110578,{},22.25
2023-11-23 20:25:07.070000-05:00,1700789107070,1700789107070,{},22.0
2023-11-23 20:25:00.056000-05:00,1700789100056,1700789100056,{},21.5
2023-11-23 20:24:56.556000-05:00,1700789096556,1700789096556,{},22.0
2023-11-23 20:24:53.049000-05:00,1700789093049,1700789093049,{},22.25
2023-11-23 20:24:49.550000-05:00,1700789089550,1700789089550,{},22.25
2023-11-23 20:24:46.053000-05:00,1700789086053,1700789086053,{},21.5
2023-11-23 20:24:42.540000-05:00,1700789082540,1700789082540,{},22.25
2023-11-23 20:24:39.036000-05:00,1700789079036,1700789079036,{},21.75
2023-11-23 20:24:35.542000-05:00,1700789075542,1700789075542,{},22.25
2023-11-23 20:24:28.535000-05:00,1700789068535,1700789068535,{},22.25
2023-11-23 20:24:25.026000-05:00,1700789065026,1700789065026,{},22.0
2023-11-23 20:24:21.543000-05:00,1700789061543,1700789061543,{},21.75
2023-11-23 20:24:18.013000-05:00,1700789058013,1700789058013,{},21.75
2023-11-23 20:24:11.007000-05:00,1700789051007,1700789051007,{},22.25
2023-11-23 20:24:07.506000-05:00,1700789047506,1700789047506,{},22.0
2023-11-23 20:24:04.006000-05:00,1700789044006,1700789044006,{},22.25
2023-11-23 20:24:00.504000-05:00,1700789040504,1700789040504,{},22.5
2023-11-23 20:23:56.991000-05:00,1700789036991,1700789036991,{},21.75
2023-11-23 20:23:53.486000-05:00,1700789033486,1700789033486,{},22.5
2023-11-23 20:23:46.482000-05:00,1700789026482,1700789026482,{},22.25
2023-11-23 20:23:42.973000-05:00,1700789022973,1700789022973,{},22.0
2023-11-23 20:23:39.470000-05:00,1700789019470,1700789019470,{},22.25
2023-11-23 20:23:35.966000-05:00,1700789015966,1700789015966,{},22.0
2023-11-23 20:23:32.466000-05:00,1700789012466,1700789012466,{},22.25
2023-11-23 20:23:25.456000-05:00,1700789005456,1700789005456,{},22.25
2023-11-23 20:23:21.954000-05:00,1700789001954,1700789001954,{},22.25
2023-11-23 20:23:18.448000-05:00,1700788998448,1700788998448,{},22.25
2023-11-23 20:23:14.948000-05:00,1700788994948,1700788994948,{},21.75
2023-11-23 20:23:11.446000-05:00,1700788991446,1700788991446,{},22.25
2023-11-23 20:23:07.937000-05:00,1700788987937,1700788987937,{},22.0
2023-11-23 20:23:04.433000-05:00,1700788984433,1700788984433,{},22.0
2023-11-23 20:22:57.425000-05:00,1700788977425,1700788977425,{},22.25
2023-11-23 20:22:53.922000-05:00,1700788973922,1700788973922,{},22.25
2023-11-23 20:22:50.417000-05:00,1700788970417,1700788970417,{},22.0
2023-11-23 20:22:46.914000-05:00,1700788966914,1700788966914,{},22.25
2023-11-23 20:22:43.413000-05:00,1700788963413,1700788963413,{},22.25
2023-11-23 20:22:36.402000-05:00,1700788956402,1700788956402,{},22.25
2023-11-23 20:22:32.895000-05:00,1700788952895,1700788952895,{},22.25
2023-11-23 20:22:29.394000-05:00,1700788949394,1700788949394,{},22.25
2023-11-23 20:22:25.890000-05:00,1700788945890,1700788945890,{},22.25
2023-11-23 20:22:22.387000-05:00,1700788942387,1700788942387,{},22.25
2023-11-23 20:22:18.882000-05:00,1700788938882,1700788938882,{},22.5
2023-11-23 20:22:15.376000-05:00,1700788935376,1700788935376,{},22.25
2023-11-23 20:22:11.870000-05:00,1700788931870,1700788931870,{},22.25
2023-11-23 20:22:08.366000-05:00,1700788928366,1700788928366,{},21.75
2023-11-23 20:22:05.436000-05:00,1700788925436,1700788925436,{},22.25
2023-11-23 20:21:54.358000-05:00,1700788914358,1700788914358,{},22.25
2023-11-23 20:21:50.882000-05:00,1700788910882,1700788910882,{},22.25
2023-11-23 20:21:47.414000-05:00,1700788907414,1700788907414,{},22.25
2023-11-23 20:21:40.346000-05:00,1700788900346,1700788900346,{},22.5
2023-11-23 20:21:36.830000-05:00,1700788896830,1700788896830,{},21.75
2023-11-23 20:21:33.373000-05:00,1700788893373,1700788893373,{},22.5
2023-11-23 20:21:29.823000-05:00,1700788889823,1700788889823,{},22.25
2023-11-23 20:21:26.321000-05:00,1700788886321,1700788886321,{},22.0
2023-11-23 20:21:22.819000-05:00,1700788882819,1700788882819,{},22.5
2023-11-23 20:21:12.306000-05:00,1700788872306,1700788872306,{},22.25
2023-11-23 20:21:08.811000-05:00,1700788868811,1700788868811,{},21.75
2023-11-23 20:21:05.296000-05:00,1700788865296,1700788865296,{},21.5
2023-11-23 20:21:01.823000-05:00,1700788861823,1700788861823,{},22.25
2023-11-23 20:20:58.372000-05:00,1700788858372,1700788858372,{},22.25
2023-11-23 20:20:54.786000-05:00,1700788854786,1700788854786,{},22.5
2023-11-23 20:20:51.289000-05:00,1700788851289,1700788851289,{},21.5
2023-11-23 20:20:44.308000-05:00,1700788844308,1700788844308,{},22.0
2023-11-23 20:20:40.780000-05:00,1700788840780,1700788840780,{},22.0
2023-11-23 20:20:37.271000-05:00,1700788837271,1700788837271,{},22.0
2023-11-23 20:20:33.765000-05:00,1700788833765,1700788833765,{},22.0
2023-11-23 20:20:30.258000-05:00,1700788830258,1700788830258,{},22.25
2023-11-23 20:20:19.744000-05:00,1700788819744,1700788819744,{},22.25
2023-11-23 20:20:16.240000-05:00,1700788816240,1700788816240,{},22.5
2023-11-23 20:20:12.736000-05:00,1700788812736,1700788812736,{},22.5
2023-11-23 20:20:09.237000-05:00,1700788809237,1700788809237,{},22.25
2023-11-23 20:20:02.248000-05:00,1700788802248,1700788802248,{},22.5
2023-11-23 20:19:58.769000-05:00,1700788798769,1700788798769,{},22.25
2023-11-23 20:19:55.223000-05:00,1700788795223,1700788795223,{},22.25
2023-11-23 20:19:51.717000-05:00,1700788791717,1700788791717,{},22.0
2023-11-23 20:19:48.215000-05:00,1700788788215,1700788788215,{},22.25
2023-11-23 20:19:41.209000-05:00,1700788781209,1700788781209,{},22.25
2023-11-23 20:19:37.704000-05:00,1700788777704,1700788777704,{},22.25
2023-11-23 20:19:30.697000-05:00,1700788770697,1700788770697,{},21.75
2023-11-23 20:19:27.190000-05:00,1700788767190,1700788767190,{},22.25
2023-11-23 20:19:23.686000-05:00,1700788763686,1700788763686,{},22.0
2023-11-23 20:19:16.679000-05:00,1700788756679,1700788756679,{},22.5
2023-11-23 20:19:13.177000-05:00,1700788753177,1700788753177,{},22.25
2023-11-23 20:19:09.666000-05:00,1700788749666,1700788749666,{},22.25
2023-11-23 20:19:06.164000-05:00,1700788746164,1700788746164,{},22.5
2023-11-23 20:19:02.658000-05:00,1700788742658,1700788742658,{},22.25
2023-11-23 20:18:59.152000-05:00,1700788739152,1700788739152,{},22.25
2023-11-23 20:18:55.650000-05:00,1700788735650,1700788735650,{},22.5
2023-11-23 20:18:52.144000-05:00,1700788732144,1700788732144,{},22.5
2023-11-23 20:18:48.640000-05:00,1700788728640,1700788728640,{},22.25
2023-11-23 20:18:45.136000-05:00,1700788725136,1700788725136,{},22.0
2023-11-23 20:18:41.634000-05:00,1700788721634,1700788721634,{},22.25
2023-11-23 20:18:38.131000-05:00,1700788718131,1700788718131,{},22.25
2023-11-23 20:18:31.134000-05:00,1700788711134,1700788711134,{},22.25
2023-11-23 20:18:27.661000-05:00,1700788707661,1700788707661,{},22.25
2023-11-23 20:18:24.114000-05:00,1700788704114,1700788704114,{},22.0
2023-11-23 20:18:20.608000-05:00,1700788700608,1700788700608,{},22.25
2023-11-23 20:18:17.105000-05:00,1700788697105,1700788697105,{},22.25
2023-11-23 20:18:13.602000-05:00,1700788693602,1700788693602,{},21.75
2023-11-23 20:18:10.104000-05:00,1700788690104,1700788690104,{},22.25
2023-11-23 20:18:06.594000-05:00,1700788686594,1700788686594,{},22.5
2023-11-23 20:18:03.099000-05:00,1700788683099,1700788683099,{},22.5
2023-11-23 20:17:59.588000-05:00,1700788679588,1700788679588,{},22.5
2023-11-23 20:17:56.094000-05:00,1700788676094,1700788676094,{},22.5
2023-11-23 20:17:52.575000-05:00,1700788672575,1700788672575,{},22.5
2023-11-23 20:17:49.076000-05:00,1700788669076,1700788669076,{},22.25
2023-11-23 20:17:41.977000-05:00,1700788661977,1700788661977,{},22.5
2023-11-23 20:17:38.457000-05:00,1700788658457,1700788658457,{},22.0
2023-11-23 20:17:34.951000-05:00,1700788654951,1700788654951,{},22.5
2023-11-23 20:17:31.448000-05:00,1700788651448,1700788651448,{},22.75
2023-11-23 20:17:24.467000-05:00,1700788644467,1700788644467,{},22.25
